date,indoorSense.iAQ
9/26/2020 3:14:14.249000000 PM,663
9/26/2020 3:14:16.334000000 PM,658
9/26/2020 3:14:18.418000000 PM,653
9/26/2020 3:14:20.508000000 PM,648
9/26/2020 3:14:22.587000000 PM,648
9/26/2020 3:14:24.668000000 PM,645
9/26/2020 3:14:26.771000000 PM,640
9/26/2020 3:14:28.847000000 PM,640
9/26/2020 3:14:30.937000000 PM,638
9/26/2020 3:14:33.024000000 PM,638
9/26/2020 3:14:35.104000000 PM,638
9/26/2020 3:14:37.182000000 PM,633
9/26/2020 3:14:39.267000000 PM,633
9/26/2020 3:14:41.338000000 PM,633
9/26/2020 3:14:43.417000000 PM,627
9/26/2020 3:14:45.512000000 PM,627
9/26/2020 3:14:47.587000000 PM,625
9/26/2020 3:14:49.670000000 PM,620
9/26/2020 3:14:51.747000000 PM,618
9/26/2020 3:14:53.826000000 PM,615
9/26/2020 3:14:55.912000000 PM,610
9/26/2020 3:14:58.002000000 PM,607
9/26/2020 3:15:00.082000000 PM,605
9/26/2020 3:15:02.161000000 PM,602
9/26/2020 3:15:04.313000000 PM,598
9/26/2020 3:15:06.395000000 PM,598
9/26/2020 3:15:08.489000000 PM,592
9/26/2020 3:15:10.579000000 PM,587
9/26/2020 3:15:12.659000000 PM,582
9/26/2020 3:15:14.742000000 PM,580
9/26/2020 3:15:16.818000000 PM,578
9/26/2020 3:15:18.904000000 PM,573
9/26/2020 3:15:20.988000000 PM,573
9/26/2020 3:15:24.230000000 PM,573
9/26/2020 3:15:26.322000000 PM,568
9/26/2020 3:15:28.408000000 PM,565
9/26/2020 3:15:30.490000000 PM,562
9/26/2020 3:15:32.570000000 PM,560
9/26/2020 3:15:34.664000000 PM,560
9/26/2020 3:15:36.749000000 PM,560
9/26/2020 3:15:38.848000000 PM,560
9/26/2020 3:15:40.937000000 PM,560
9/26/2020 3:15:43.020000000 PM,560
9/26/2020 3:15:45.094000000 PM,562
9/26/2020 3:15:47.178000000 PM,565
9/26/2020 3:15:49.256000000 PM,565
9/26/2020 3:15:51.340000000 PM,565
9/26/2020 3:15:53.419000000 PM,565
9/26/2020 3:15:55.500000000 PM,565
9/26/2020 3:15:57.580000000 PM,565
9/26/2020 3:15:59.663000000 PM,565
9/26/2020 3:16:01.750000000 PM,565
9/26/2020 3:16:03.828000000 PM,568
9/26/2020 3:16:05.913000000 PM,568
9/26/2020 3:16:07.996000000 PM,568
9/26/2020 3:16:10.079000000 PM,570
9/26/2020 3:16:12.146000000 PM,573
9/26/2020 3:16:14.225000000 PM,573
9/26/2020 3:16:16.320000000 PM,573
9/26/2020 3:16:18.397000000 PM,573
9/26/2020 3:16:20.496000000 PM,573
9/26/2020 3:16:22.587000000 PM,573
9/26/2020 3:16:24.666000000 PM,573
9/26/2020 3:16:26.744000000 PM,575
9/26/2020 3:16:28.824000000 PM,575
9/26/2020 3:16:30.902000000 PM,573
9/26/2020 3:16:32.985000000 PM,570
9/26/2020 3:16:35.067000000 PM,570
9/26/2020 3:16:37.143000000 PM,570
9/26/2020 3:16:39.244000000 PM,570
9/26/2020 3:16:41.341000000 PM,568
9/26/2020 3:16:44.768000000 PM,562
9/26/2020 3:16:46.856000000 PM,562
9/26/2020 3:16:48.946000000 PM,565
9/26/2020 3:16:51.027000000 PM,565
9/26/2020 3:16:53.108000000 PM,565
9/26/2020 3:16:55.188000000 PM,565
9/26/2020 3:16:57.268000000 PM,565
9/26/2020 3:16:59.346000000 PM,565
9/26/2020 3:17:01.424000000 PM,565
9/26/2020 3:17:03.534000000 PM,568
9/26/2020 3:17:05.615000000 PM,568
9/26/2020 3:17:07.698000000 PM,570
9/26/2020 3:17:09.786000000 PM,570
9/26/2020 3:17:11.877000000 PM,573
9/26/2020 3:17:13.951000000 PM,575
9/26/2020 3:17:16.042000000 PM,580
9/26/2020 3:17:18.127000000 PM,585
9/26/2020 3:17:20.202000000 PM,587
9/26/2020 3:17:22.274000000 PM,590
9/26/2020 3:17:24.365000000 PM,590
9/26/2020 3:17:26.442000000 PM,592
9/26/2020 3:17:28.534000000 PM,595
9/26/2020 3:17:30.618000000 PM,598
9/26/2020 3:17:32.699000000 PM,600
9/26/2020 3:17:34.786000000 PM,602
9/26/2020 3:17:36.865000000 PM,602
9/26/2020 3:17:39.038000000 PM,602
9/26/2020 3:17:41.126000000 PM,605
9/26/2020 3:17:43.207000000 PM,605
9/26/2020 3:17:45.291000000 PM,602
9/26/2020 3:17:47.378000000 PM,600
9/26/2020 3:17:49.463000000 PM,600
9/26/2020 3:17:51.555000000 PM,600
9/26/2020 3:17:53.633000000 PM,600
9/26/2020 3:17:55.713000000 PM,600
9/26/2020 3:17:57.797000000 PM,600
9/26/2020 3:17:59.882000000 PM,600
9/26/2020 3:18:01.963000000 PM,600
9/26/2020 3:18:04.044000000 PM,600
9/26/2020 3:18:06.127000000 PM,600
9/26/2020 3:18:08.202000000 PM,600
9/26/2020 3:18:10.286000000 PM,599
9/26/2020 3:18:12.376000000 PM,599
9/26/2020 3:18:14.458000000 PM,599
9/26/2020 3:18:16.540000000 PM,599
9/26/2020 3:18:18.632000000 PM,602
9/26/2020 3:18:21.828000000 PM,605
9/26/2020 3:18:23.911000000 PM,607
9/26/2020 3:18:25.993000000 PM,609
9/26/2020 3:18:28.079000000 PM,612
9/26/2020 3:18:30.157000000 PM,612
9/26/2020 3:18:32.239000000 PM,612
9/26/2020 3:18:34.319000000 PM,614
9/26/2020 3:18:36.402000000 PM,614
9/26/2020 3:18:38.483000000 PM,614
9/26/2020 3:18:40.560000000 PM,614
9/26/2020 3:18:42.638000000 PM,614
9/26/2020 3:18:44.720000000 PM,614
9/26/2020 3:18:46.795000000 PM,614
9/26/2020 3:18:48.878000000 PM,612
9/26/2020 3:18:50.957000000 PM,612
9/26/2020 3:18:53.039000000 PM,612
9/26/2020 3:18:55.126000000 PM,607
9/26/2020 3:18:57.206000000 PM,607
9/26/2020 3:18:59.288000000 PM,605
9/26/2020 3:19:01.384000000 PM,602
9/26/2020 3:19:03.472000000 PM,599
9/26/2020 3:19:05.547000000 PM,597
9/26/2020 3:19:08.836000000 PM,597
9/26/2020 3:19:10.915000000 PM,597
9/26/2020 3:19:12.998000000 PM,597
9/26/2020 3:19:15.082000000 PM,597
9/26/2020 3:19:17.164000000 PM,597
9/26/2020 3:19:19.257000000 PM,597
9/26/2020 3:19:21.324000000 PM,597
9/26/2020 3:19:23.405000000 PM,597
9/26/2020 3:19:25.483000000 PM,594
9/26/2020 3:19:27.564000000 PM,597
9/26/2020 3:19:29.654000000 PM,597
9/26/2020 3:19:31.731000000 PM,597
9/26/2020 3:19:33.815000000 PM,597
9/26/2020 3:19:35.891000000 PM,597
9/26/2020 3:19:37.995000000 PM,597
9/26/2020 3:19:40.072000000 PM,597
9/26/2020 3:19:42.146000000 PM,597
9/26/2020 3:19:44.225000000 PM,597
9/26/2020 3:19:46.310000000 PM,597
9/26/2020 3:19:48.400000000 PM,597
9/26/2020 3:19:50.501000000 PM,599
9/26/2020 3:19:52.584000000 PM,599
9/26/2020 3:19:54.666000000 PM,599
9/26/2020 3:19:56.752000000 PM,594
9/26/2020 3:19:58.842000000 PM,597
9/26/2020 3:20:00.931000000 PM,602
9/26/2020 3:20:03.018000000 PM,602
9/26/2020 3:20:05.107000000 PM,605
9/26/2020 3:20:07.197000000 PM,605
9/26/2020 3:20:09.297000000 PM,609
9/26/2020 3:20:11.374000000 PM,609
9/26/2020 3:20:13.451000000 PM,612
9/26/2020 3:20:15.537000000 PM,612
9/26/2020 3:20:17.656000000 PM,612
9/26/2020 3:20:19.742000000 PM,612
9/26/2020 3:20:21.827000000 PM,617
9/26/2020 3:20:23.911000000 PM,619
9/26/2020 3:20:26.012000000 PM,622
9/26/2020 3:20:28.103000000 PM,622
9/26/2020 3:20:30.199000000 PM,625
9/26/2020 3:20:32.280000000 PM,627
9/26/2020 3:20:34.364000000 PM,632
9/26/2020 3:20:36.453000000 PM,632
9/26/2020 3:20:38.539000000 PM,634
9/26/2020 3:20:40.623000000 PM,637
9/26/2020 3:20:42.698000000 PM,640
9/26/2020 3:20:44.779000000 PM,642
9/26/2020 3:20:46.859000000 PM,647
